index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
3645,어묵무침,4.8,3.5,3.7,10.9,21.4,0.0,9.9,6.9,9.3,4.7
3646,콩나물떡볶이,20.5,27.4,14.4,3.6,60.0,0.0,15.3,6.3,4.1,0.0
3647,마요네즈감자버무리,18.0,8.1,8.7,52.6,44.2,12.1,11.7,4.0,61.2,0.0
3648,스팸쪽파볶음밥,15.8,23.0,15.6,0.9,11.4,0.0,11.1,13.2,15.9,0.0
3649,시금치무침,2.3,1.2,3.9,6.4,8.4,0.0,8.5,5.0,37.6,0.0
3650,콩나물쇠고기국,4.3,3.0,10.0,7.6,45.4,0.7,15.8,6.8,15.0,0.0
3651,단호박죽,13.2,11.4,33.3,14.1,8.8,0.0,42.4,20.5,43.8,0.0
3652,돼지고기김치밥,15.5,12.2,16.1,20.0,17.9,8.3,4.8,1.6,2.6,0.0
3654,피자치즈돈까스,56.5,19.7,122.6,96.6,152.6,64.7,14.5,104.2,2.5,0.0
3655,고구마감자튀김,23.2,28.3,22.9,14.9,39.9,0.0,19.1,7.3,29.7,0.0
3656,시리얼버무리,15.7,3.9,8.2,54.5,8.6,10.9,5.1,14.6,12.1,0.7
3657,닭가슴살찹스테이크,21.1,15.4,67.1,20.9,41.5,29.3,37.6,5.7,172.9,0.0
3658,황태우거지된장국,18.0,1.7,128.4,8.5,52.2,99.9,9.0,61.2,3.1,0.0
3659,시바카레,22.0,21.5,40.0,18.2,26.0,15.1,5.1,6.1,32.5,0.0
3660,치킨크림리조또,32.3,27.4,85.6,25.0,48.1,42.7,7.2,68.6,27.9,0.0
3661,스팸김치덮밥,24.7,24.1,26.5,32.2,28.2,99.8,5.9,4.9,1.1,0.0
3662,땡초김밥,17.0,23.0,15.2,6.3,0.7,0.0,13.3,5.7,19.0,0.0
3663,베이컨왕초밥,24.7,22.2,13.1,42.2,13.6,9.6,5.6,5.3,5.1,2.0
3664,소고기사골떡국,8.3,4.5,17.8,14.5,10.0,218.9,0.4,6.1,3.0,0.0
3665,계란볶음밥,23.5,23.0,40.0,20.9,25.3,199.5,9.4,9.9,129.6,0.0
