index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
1077,감자칩탕수육,29.3,21.8,41.0,44.6,56.1,68.2,9.9,6.1,6.9,0.0
1078,고구마크림그라탕,52.8,28.2,68.0,89.3,66.9,68.3,18.8,131.8,52.5,0.0
1079,굴짬뽕,8.4,2.3,32.5,14.0,22.3,44.5,8.0,9.0,11.0,1.2
1080,해물단호박찜,4.3,4.5,7.8,3.1,7.2,1.8,12.9,9.5,40.7,0.0
1081,떠먹는 야채피자,19.6,8.0,44.0,25.1,71.3,73.4,13.1,57.6,57.0,0.0
1083,다리미토스트,12.3,12.0,17.0,10.7,11.7,8.5,9.5,14.6,0.0,0.0
1084,감자팬피자,23.1,15.6,38.4,30.2,38.9,25.0,19.6,58.9,58.5,0.6
1085,함박스테이크,64.3,16.5,149.5,145.5,81.7,180.2,14.8,15.9,21.9,6.3
1086,과일롤,37.5,24.3,19.5,86.3,4.1,37.6,22.4,14.5,27.5,0.0
1087,부꾸미,47.4,59.4,30.2,21.2,0.3,0.0,4.0,2.9,0.4,0.0
1088,무파두루치기,4.8,6.2,6.3,2.1,61.6,0.0,14.4,4.7,6.7,0.0
1089,베이컨프리타타,25.3,3.7,49.5,47.0,82.5,264.5,8.8,14.7,20.7,0.0
1090,스팸감자채볶음,54.8,14.2,15.5,59.6,15.8,0.3,21.9,5.8,102.6,0.0
1092,미니머핀햄버거,58.9,3.8,106.1,132.1,83.0,76.4,5.2,21.6,13.1,0.0
1093,치즈함박스테이크,30.5,4.9,93.7,69.7,96.8,187.5,7.5,17.1,10.3,5.3
1094,사과겉절이,33.2,53.8,15.4,7.4,54.4,0.2,100.2,10.0,50.5,0.0
1095,계란포테이토피자,19.6,17.8,44.0,17.5,60.6,149.8,44.9,20.1,149.7,0.7
1096,만두 라자냐,27.1,23.4,48.5,28.9,57.7,28.8,40.4,25.2,107.3,0.0
1097,배추겉절이,5.7,7.9,6.9,2.7,50.2,6.9,23.0,8.1,9.7,0.0
1098,북엇국,3.7,0.6,4.7,12.4,26.5,24.9,1.4,1.8,1.7,0.0
1099,Egg in Hell ,14.2,10.6,30.8,18.7,7.5,105.7,21.5,10.5,24.2,0.0
1100,등갈비,46.7,11.5,118.3,112.3,39.1,79.1,63.2,11.8,18.6,0.0
1101,육포,6.8,7.9,4.5,0.8,49.1,0.0,11.8,2.8,9.2,0.0
1102,메추리알꼬치,10.2,9.0,13.1,12.9,24.6,100.5,6.6,5.4,1.4,9.4
1103,악마면,36.2,20.4,20.5,82.9,134.7,10.4,17.3,5.7,0.0,0.0
1104,오징어버터구이,13.7,1.6,63.2,23.6,20.1,143.8,1.7,6.8,5.5,0.0
1105,계란국수,12.0,4.0,37.7,22.2,57.0,215.4,14.6,32.7,28.0,0.0
1106,오징어채,49.3,33.7,193.3,24.0,334.1,0.0,27.7,16.7,5.4,18.7
1107,깐풍만두,6.0,7.8,5.3,4.8,31.5,0.2,20.7,2.9,42.9,4.7
1108,안심로제파스타,7.5,5.4,10.7,12.2,44.2,3.0,10.4,16.9,17.2,0.0
1109,낙지호롱구이,14.2,11.6,34.3,12.4,85.9,49.9,6.2,10.2,7.0,0.0
1111,매콤봉골레파스타,28.8,27.9,49.0,17.6,28.8,21.4,12.7,51.8,4.3,0.0
1112,고구마튀김,11.5,16.2,5.7,0.7,8.4,0.0,11.2,4.8,25.0,0.0
1113,바나나보트,13.9,21.2,5.1,0.8,0.3,0.0,10.4,1.2,14.4,0.0
1114,매운순대꼬치,13.2,18.2,13.4,4.3,90.2,0.0,27.2,6.0,4.8,9.4
1115,딸기팬케익,87.2,86.3,69.8,116.9,134.9,141.0,30.7,85.4,60.0,9.7
1117,라즈베리닭가슴살샐러드,20.6,12.5,70.3,23.6,250.2,35.0,48.1,16.2,194.4,30.6
1118,단호박수프,21.6,12.1,32.7,46.2,13.9,19.0,11.8,79.5,20.8,0.0
1119,안심숙주볶음,10.8,1.5,40.6,19.0,58.7,16.4,2.5,4.7,5.1,0.0
1120,달걀푸딩,23.5,23.9,26.1,21.5,10.0,153.3,0.0,21.8,1.0,0.0
1121,만두전,18.8,14.3,34.7,24.5,0.0,44.0,3.0,4.2,4.8,0.0
1122,탕수육,21.0,21.3,3.7,29.9,35.7,0.2,8.3,7.1,8.2,0.0
1123,어묵잡채,15.5,15.5,37.7,7.6,56.7,7.3,20.4,18.3,148.7,0.0
1124,어묵고로케,44.3,41.7,96.0,27.9,118.5,111.4,19.1,28.5,0.0,0.0
1125,콩불,34.6,12.2,69.1,89.1,65.6,27.7,40.2,16.4,23.2,0.0
1126,연어찹스테이크,5.8,1.8,14.7,3.8,1.5,4.5,10.2,8.9,67.6,0.0
1127,치킨토마토그라탕,27.0,23.7,87.3,27.8,43.1,16.9,149.0,84.5,616.3,0.0
1128,스크램블 김치 볶음밥,14.8,12.7,20.8,20.3,22.5,99.8,4.5,7.4,5.3,0.0
1129,무화과오믈렛,22.1,12.6,48.3,37.0,32.4,302.9,13.4,33.2,4.5,0.0
1130,설탕핫도그,18.9,19.0,20.6,21.4,35.0,52.4,5.9,20.5,0.7,2.4
1131, 치즈 스틱,28.3,20.0,56.4,37.5,35.8,125.4,14.7,56.2,0.4,0.0
1132,브리치즈 구이,0.6,0.2,1.1,1.5,0.9,0.9,0.0,0.7,0.0,0.0
1133,뚝배기불고기,38.7,29.6,77.8,45.1,26.6,37.7,29.2,13.8,7.4,0.0
1134,양파연꽃,8.7,5.9,3.7,20.0,0.4,0.7,11.8,5.2,15.8,5.4
1135,제티브라우니,6.2,2.5,15.7,11.1,5.1,100.2,0.9,5.8,0.1,0.0
1136,동그랑땡마요덮밥,24.0,22.7,28.0,31.2,50.6,99.8,9.7,8.9,7.0,0.0
1137,콜라닭,22.4,8.3,59.5,46.3,99.4,34.6,26.4,26.4,20.4,0.0
1138,오리엔탈 두부 부침,19.3,1.9,38.4,63.8,35.7,0.0,22.3,40.8,0.1,0.0
1139,육회,8.6,6.8,6.3,15.9,58.9,29.9,9.0,5.4,4.8,0.0
1140,미니햄버거,31.5,19.7,61.2,49.0,78.3,32.3,17.6,30.9,14.0,0.0
1141,베이컨토마토꼬치,49.2,1.4,60.5,48.5,79.3,43.2,3.5,4.7,16.9,0.0
1142,핫케이크,59.1,69.2,62.8,44.3,101.0,105.3,35.1,76.1,129.3,0.0
1143,불닭치즈땅,18.8,0.9,8.7,13.2,9.0,8.7,0.0,13.9,0.0,0.0
1144,참치베이컨말이,33.4,1.1,65.2,31.7,63.1,30.1,2.3,10.0,4.4,0.0
1145,마늘빵,20.3,11.4,9.6,53.0,12.2,27.6,10.4,2.8,3.9,0.0
1146,삼겹살덮밥,62.9,31.1,83.6,131.5,80.0,46.8,22.0,9.9,45.4,0.0
1147,감자파이,11.7,15.6,17.1,0.9,5.4,0.2,27.7,7.3,107.6,0.0
1148,콩나물닭갈비,34.0,28.5,109.1,25.2,165.1,53.7,77.2,30.7,56.7,0.0
1149,떡갈비,184.7,233.9,169.1,70.3,1212.0,56.7,49.8,37.7,46.1,4.4
1150,크림새우,42.5,22.4,60.1,56.7,54.1,116.4,18.5,24.6,6.0,0.0
1152,해산물카레볶음밥,45.7,36.9,152.4,24.9,81.4,272.2,64.2,23.5,82.3,0.0
1153,귤잼,460.4,714.3,49.1,0.0,21.9,0.0,237.6,66.9,27.0,0.0
1154,카키후라이 ,21.0,16.5,26.9,32.4,29.7,77.3,11.3,6.0,0.7,0.0
1156,리얼 토마토 파스타,20.8,25.4,22.6,4.2,21.1,0.0,18.2,3.8,14.7,0.0
1157,브로콜리트리,17.7,15.9,32.9,24.7,15.5,7.7,40.9,22.1,276.2,0.0
1158,리코타치즈샐러드,17.2,6.6,24.3,45.3,11.1,14.7,3.3,63.3,31.9,0.0
1159,끈기덮밥,17.9,8.6,55.2,25.0,84.0,69.9,22.9,14.8,43.5,0.0
1160,바게트 샌드위치,13.6,6.4,23.5,12.9,6.2,124.7,7.4,5.7,47.5,0.0
1161,까르보나라떡볶이,48.4,8.4,69.9,75.1,66.8,138.0,14.9,53.2,22.1,0.0
1162,허니버터치킨,55.7,38.6,172.3,50.5,141.9,210.4,22.3,20.9,12.0,0.0
1163,채소가지말이,6.3,2.6,4.2,21.1,8.0,0.0,13.8,4.1,101.4,0.0
1164,콩나물해장국,6.8,2.0,23.0,14.1,52.0,106.0,10.7,22.1,14.4,0.0
1165,마약옥수수,24.7,28.8,26.0,17.9,36.2,5.7,52.9,9.8,11.8,0.0
1166,감자옹심이,21.5,28.8,33.1,1.3,85.0,0.0,36.4,4.0,234.0,0.0
1167,백짬뽕,25.9,9.6,128.1,22.8,238.9,139.8,34.5,111.1,93.7,0.0
1168,두부김치,21.3,6.8,64.1,50.6,86.5,18.3,40.7,49.9,21.5,0.0
1169,갈치조림,27.1,16.8,88.7,38.1,102.7,56.3,92.3,41.8,60.5,0.0
1170,시금치또띠아피자,35.6,17.0,48.5,68.3,74.3,47.0,39.4,74.8,77.2,1.2
1171,김치굴밥,25.8,23.0,55.1,21.6,115.1,49.3,34.1,40.2,50.5,0.0
1172,당근칩과 양파딥소스,7.5,6.7,4.8,12.7,11.6,2.7,18.6,8.9,14.3,0.2
1173,스프링롤,18.8,24.7,19.4,2.1,35.9,14.0,28.8,20.5,265.7,0.0
1174,다리미토스트,19.6,18.7,28.7,17.9,22.3,15.3,14.3,28.1,0.0,0.0
1175,꽁치조림,4.8,5.3,6.4,1.6,54.9,0.1,19.5,7.5,22.9,0.0
1176,토마토 달걀볶음,6.7,1.1,20.7,15.2,14.8,149.6,1.5,6.4,5.7,0.0
1177,달걀 피자,14.0,3.7,35.7,23.9,24.5,160.2,5.0,32.3,67.9,0.0
1178,다이제타르트,16.4,4.4,32.3,42.7,30.5,123.4,0.0,44.0,1.0,0.0
1179,오야코동,31.4,24.3,79.1,30.9,16.8,232.9,6.3,10.7,7.5,0.0
1180,시금치베이컨주먹밥,29.0,3.0,35.2,46.1,48.8,19.2,18.9,15.0,82.6,0.0
1181,연어타다끼덮밥,38.6,39.5,97.3,8.5,150.7,40.7,17.7,14.9,18.9,0.0
1183,샐러드피자,12.7,15.4,13.9,9.6,9.8,0.0,38.5,13.9,154.0,5.9
1184,어묵전골,3.5,2.1,8.7,5.5,7.1,50.0,9.9,5.3,9.6,0.0
1185,크림스프리조또,36.3,22.0,75.7,61.1,28.8,45.0,3.7,3.0,1.5,0.0
1186,지성의 만두밥,17.1,21.0,14.4,7.6,15.6,0.0,2.7,4.5,0.0,0.0
1187,김치말이국수,26.6,34.9,30.6,2.8,198.7,0.0,35.6,16.6,20.1,0.0
1188,나쵸치즈피자,15.8,4.9,34.3,20.8,40.2,26.1,0.2,62.3,0.5,0.0
1189,마파두부,47.3,53.2,56.4,33.2,169.9,0.3,40.6,26.6,17.0,0.0
1190,간장버터밥,25.5,21.2,11.7,50.1,11.2,26.1,3.4,1.5,0.0,0.0
1192,유자플랫브래드,56.2,18.7,73.1,67.9,157.0,33.8,60.0,50.0,228.2,0.0
1193,크래미캘리포니아롤,28.5,25.8,24.5,46.4,31.2,9.8,27.3,20.5,22.1,0.0
1196,두부무스케이크,55.4,38.7,9.0,125.9,6.2,53.6,2.7,17.1,7.1,0.0
1197,탕수육소스 떡볶이,12.1,16.2,7.9,1.7,9.0,0.0,7.9,1.7,6.2,0.0
1199,비프 크림 수제비,85.9,28.3,59.4,257.7,42.5,113.0,21.8,36.9,55.2,0.0
1201,볶음우동,12.8,12.7,10.9,8.8,39.6,0.0,14.9,2.2,83.3,0.0
1202,황도시집간날,3.5,3.5,2.8,5.6,1.4,0.0,9.7,4.5,6.5,0.0
1203,매운김밥,17.5,22.4,16.5,7.5,17.0,0.0,24.5,6.4,39.7,0.0
1205,치즈채소스틱,14.8,13.5,23.5,14.4,22.4,13.5,9.6,27.0,0.2,0.0
1206,카치면,28.7,21.4,25.9,44.8,135.9,5.8,17.3,17.2,0.0,0.0
1207,뚝배기쌀국수,36.0,46.8,88.2,37.0,67.8,54.8,28.4,29.5,17.1,0.0
1208,소시지토마토스파게티,36.3,11.8,95.5,78.1,15.7,50.3,9.2,8.2,17.2,0.0
1209,굴전,10.9,6.0,27.3,15.9,19.5,112.1,5.9,13.6,6.1,0.0
1210,돼지불고기양념두부강정,8.0,5.0,4.8,19.0,7.7,0.0,4.5,3.2,0.2,0.2
1211,호박타락죽,5.3,6.2,4.8,2.7,10.2,1.5,0.4,6.4,0.4,0.0
1212,수제피자,11.3,1.9,34.9,16.1,27.7,20.3,0.0,31.6,1.0,0.0
1213,다시피자,35.1,22.5,75.8,52.9,57.3,30.7,14.6,42.5,9.0,0.0
1214,뱅쇼,43.7,19.8,5.0,0.9,55.0,0.0,23.7,104.2,90.2,10.5
1217,오븐치킨,46.1,2.8,148.7,114.4,14.1,106.1,9.2,7.9,23.2,0.0
1218,고구마칩,15.2,23.9,2.8,0.4,16.1,0.0,9.2,3.7,26.8,0.0
1219,초콜릿푸딩,37.1,25.0,39.9,72.2,15.2,220.7,10.7,52.1,2.0,0.0
1221,굴김치보쌈,51.9,9.2,97.5,153.8,16.7,64.3,19.8,15.8,29.5,0.0
1222,오이소박이,31.1,42.3,41.7,14.7,963.1,6.9,150.4,65.8,134.0,0.0
1223,만두피츄러스,15.3,14.5,8.0,21.3,0.5,8.4,8.5,2.4,1.2,0.0
1225,치즈골뱅이볶음밥,21.9,23.0,27.5,10.3,16.7,12.2,3.4,29.4,0.0,0.0
1226,과일후렌치파이,15.6,25.1,10.2,2.5,1.3,0.0,41.2,11.4,85.1,0.6
1227,치킨스낵랩,19.6,13.0,34.4,32.7,31.5,17.7,23.7,13.7,4.4,1.2
1228,맥앤치즈,31.2,9.3,36.7,65.0,56.6,35.7,6.7,46.6,5.0,0.0
1229,크림치즈호떡,35.7,21.0,45.5,41.6,29.3,23.1,33.5,11.3,278.9,0.0
1231,미라밥,26.6,28.6,39.3,20.6,40.0,17.5,18.0,57.1,17.4,0.0
1232,울랄라맥조,4.0,2.4,2.0,0.6,0.5,0.0,4.5,3.4,25.9,0.0
1233,고구마 만두,13.8,18.2,10.4,2.3,1.3,7.4,21.9,5.0,23.4,0.0
1234,홍구리,35.0,25.3,46.0,52.6,142.7,110.6,26.0,35.4,20.2,0.0
1235,짜플,11.8,10.6,9.3,19.8,20.5,2.2,9.1,2.0,11.6,1.9
1236,홍시소고기구이,2.5,3.7,2.6,0.2,35.3,0.0,9.1,2.3,15.0,0.0
1237,볼로네제,24.4,21.9,57.0,12.9,24.7,16.5,22.6,9.9,13.6,0.0
1238,마약김밥,17.9,26.1,18.6,1.6,54.3,0.0,20.9,9.2,13.8,0.0
1239,딸기 요거트 샐러드,16.3,4.2,8.6,59.3,7.1,14.8,28.0,9.9,40.7,7.7
1241,토마토 해산물 렌틸 스프,6.9,6.5,22.5,1.3,2.9,19.1,38.5,5.8,10.8,1.1
1243,고구마라이스그라탕,16.2,21.6,13.4,3.3,13.0,3.2,14.3,12.7,28.7,0.0
1244,감자고로케,23.0,22.0,29.7,8.2,18.3,50.0,22.9,6.4,73.8,0.0
1245,수육,36.2,14.8,121.3,56.8,16.7,61.3,33.1,13.9,42.7,0.0
1246,떡만두국,21.7,19.1,28.9,26.7,66.2,87.3,23.5,26.6,12.2,0.0
1247,파에야,17.3,13.7,60.1,4.7,34.0,87.3,11.9,8.7,26.6,0.0
1248,팝콘돈가스,13.0,2.6,45.1,23.9,15.4,69.9,1.0,3.6,0.0,0.0
1249,간짬뽕 팟타이,53.2,2.8,25.2,53.9,57.4,12.8,14.4,4.1,24.4,0.0
1250,마약옥수수,8.8,1.9,3.3,32.1,8.7,13.7,0.8,7.3,0.5,0.0
1251,슈가떡,28.4,39.3,14.5,2.8,50.5,0.0,8.0,2.2,0.0,0.0
1252,스팸소면무침,8.3,10.7,9.8,2.9,92.5,0.2,20.7,7.3,12.0,0.0
1253,맑은순두부탕,1.4,1.9,3.8,0.2,21.5,0.0,6.2,1.7,7.0,0.0
1254,묵사발,15.0,16.7,11.9,14.5,12.9,112.7,28.7,9.9,10.0,0.0
1255,매운잡채,10.0,12.4,13.9,2.6,19.8,2.5,17.1,10.6,14.4,0.0
1256,오징어 찌개,17.0,5.3,93.4,18.8,103.0,133.8,34.2,36.4,32.0,0.0
1257,초코식빵호떡,22.9,18.5,18.6,40.6,2.7,4.1,19.2,6.6,0.4,1.7
1258,명란우삼겹덮밥,21.6,23.2,20.7,22.6,41.0,29.1,6.9,3.6,4.2,0.0
1259,베이컨치즈핫케이크,74.4,37.5,113.3,83.5,95.1,260.2,8.8,78.6,4.7,0.0
1260,김그랑땡,10.9,9.7,30.0,11.3,9.0,100.1,22.2,11.8,143.1,0.0
1261,돼지갈비양념파스타,80.6,27.9,56.6,181.0,52.2,85.4,22.5,23.2,10.5,0.0
1262,땡초목살강정,29.5,21.1,63.7,34.4,63.2,30.0,6.2,4.5,1.8,0.0
1263,땅콩버터탄탄면,54.1,31.5,58.7,120.8,106.2,22.7,37.0,6.0,3.4,0.0
1264,오이샐러드,5.7,0.9,3.4,21.5,21.8,4.8,6.4,4.9,9.4,0.0
1265,국수장국 볶음우동,9.5,12.4,4.4,7.0,0.2,0.3,16.4,3.0,13.2,0.0
1266,즉석짜장떡볶이,55.8,54.4,54.8,39.2,120.2,4.8,36.2,19.4,10.5,0.0
1267,갈릭크림소스 스튜,4.6,5.2,5.1,4.5,9.3,2.3,11.8,6.3,30.6,0.0
1268,로제소스 해물빠에야,11.0,1.7,68.9,8.3,27.7,139.1,3.1,12.6,8.7,0.0
1269,더덕비빔국수,20.8,25.5,18.7,8.4,65.0,0.0,28.1,4.5,6.5,0.0
1270,꿍팟퐁커리,22.5,15.2,60.1,28.8,49.4,136.2,62.5,44.1,59.4,0.0
1271,삼겹살찹쌀튀김샐러드,75.1,10.7,21.9,289.6,8.7,9.2,1.7,1.9,2.0,0.0
1272,굴떡국,44.2,45.2,71.3,23.4,87.6,147.4,13.3,29.3,7.1,0.0
1273,초계탕,9.2,6.0,46.8,1.5,17.4,23.7,13.5,7.4,20.4,0.0
1274,고추장떡,36.8,45.7,27.8,15.1,26.6,0.0,13.9,4.9,12.4,0.0
1275,폭탄주먹밥 ,29.7,23.5,35.3,51.9,21.8,12.6,17.9,9.5,19.6,0.0
1276,어묵전골,21.5,16.2,63.6,20.4,165.4,17.5,33.3,45.4,22.4,0.0
1277,무간장피클,49.2,64.1,65.6,4.2,1173.9,0.3,43.3,46.6,56.7,0.0
1278,게살스튜,7.4,3.4,19.3,13.6,23.1,101.3,4.5,13.0,4.3,0.0
1279,해물탕,18.0,3.0,113.5,12.9,28.2,77.1,9.5,34.9,24.4,0.0
1280,치킨무샌드위치,24.8,19.4,34.5,35.8,30.7,12.8,18.0,10.7,2.5,0.0
1281,토마토가래떡파스타,22.9,17.9,17.0,35.4,30.3,5.6,13.7,16.8,22.1,0.0
1282,토마토 비프스튜,18.8,9.1,44.1,29.4,32.1,22.4,22.0,9.1,58.6,0.5
1283,누들오코노미야키,27.6,12.7,30.3,44.2,56.7,63.4,10.8,6.1,15.8,0.0
1286,파프리카오이무침,15.3,13.6,19.5,26.3,80.0,0.0,52.5,25.5,299.3,0.0
1287,토마토볶음밥,20.8,30.2,26.6,2.1,29.3,0.0,28.9,13.4,96.4,0.0
1288,어묵감자조림,4.5,4.6,3.8,5.3,55.1,0.1,5.8,2.5,3.6,0.0
1289,떡볶이,29.1,37.6,28.1,7.0,150.7,2.3,22.4,13.3,7.5,0.0
1290,감자뢰스티,8.3,9.1,16.4,4.0,26.0,3.2,11.9,16.8,50.7,0.0
1291,새우깡버거,16.9,9.0,5.3,45.0,26.0,10.8,5.5,3.0,2.9,0.0
1292,샐러드파스타,27.4,14.3,10.3,79.9,16.5,0.3,30.2,18.1,362.2,0.0
1293,핫초코,14.5,9.6,23.3,25.1,11.0,14.7,0.0,60.1,4.0,0.0
1294,김치밥피자,15.3,22.7,13.1,0.6,0.5,0.2,9.2,2.4,68.7,0.0
1296,프렌치토스트,20.3,15.5,27.6,30.6,10.5,110.5,9.5,15.1,0.7,0.0
1297,마늘 장아찌 올리오,48.2,24.3,55.3,34.0,61.3,24.9,14.1,4.2,6.0,0.0
1298,피자,11.2,11.0,14.1,13.1,11.1,5.4,15.8,18.8,7.2,1.1
1299,닭 안심 뿌리채소 조림,8.0,7.3,29.6,0.9,1.9,11.7,18.8,3.4,51.9,0.0
1302,투움바파스타,48.6,10.1,52.0,158.2,251.6,94.7,29.1,59.3,54.4,0.0
1304,딸기생크림케익,65.2,74.7,61.1,54.9,103.2,107.1,40.6,70.3,2.0,46.8
1305,세발나물 매운 오징어 비빔밥,3.8,4.9,6.2,1.2,55.2,0.0,10.6,4.3,29.8,0.0
1306,메쉬포테이토,65.1,26.2,92.6,51.4,89.8,48.3,34.0,37.3,195.3,0.0
1307,햄토스트,30.7,13.2,14.2,3.3,13.5,0.0,59.2,22.3,51.4,31.7
1309,족발볶음,9.9,7.3,13.9,21.3,2.6,0.0,47.5,22.7,160.1,0.0
1310,비프스튜,9.8,10.0,11.1,11.1,21.2,0.0,58.6,21.7,66.3,31.7
1311,비빔만두,1.4,1.0,1.4,3.4,0.5,0.0,6.1,3.8,5.0,0.0
1312,곤약쟁반국수,10.8,4.7,16.5,30.1,6.2,99.8,37.2,34.8,48.8,0.0
1313,김치말이국수,31.4,39.8,28.8,3.6,120.2,0.0,24.8,8.4,13.0,0.0
1314,고구마말랭이조림,24.1,35.7,6.6,1.3,7.8,0.0,3.8,1.9,0.9,0.0
1315,묵은지돼지김치찜,2.7,3.3,8.0,2.2,107.6,0.0,22.6,11.7,25.5,0.0
1316,소불고기양념볶음밥,33.3,27.2,66.0,38.9,33.4,118.7,12.4,9.2,32.9,0.0
1317,매운갈비양념 철판치즈불닭,16.2,9.5,52.2,19.3,42.7,33.7,14.8,60.3,26.9,0.0
1318,감자스프,29.5,12.3,42.3,36.8,38.5,27.9,11.4,37.2,73.3,0.0
1319,시금치페스토파스타,35.8,2.8,40.4,126.9,36.4,41.6,11.8,32.3,41.2,0.0
1320,올리브치즈오믈렛,20.8,4.5,48.6,53.2,28.1,314.4,5.0,26.2,11.5,0.0
1321,곶감고추장장아찌,13.9,22.2,6.2,2.5,13.5,0.0,74.3,9.2,7.3,0.0
1322,춘장파스타,46.8,30.6,56.5,35.1,49.3,18.7,71.1,12.4,7.7,0.0
1323,쫄떡볶이,21.3,23.9,14.3,9.5,28.3,2.1,23.3,8.4,7.7,0.0
1324,부엉이당근머핀,45.6,28.3,31.6,101.8,19.8,116.2,13.7,26.6,4.5,1.0
1325,우거지갈비탕,3.5,2.1,5.5,6.4,64.4,0.1,7.4,3.1,4.9,0.0
1326,순두부찌개,42.5,20.0,59.1,106.1,268.9,72.4,94.9,18.0,44.6,0.0
1327,쿠키 튀김,22.9,24.7,26.9,20.9,41.9,53.5,7.6,31.5,1.0,0.0
1328,닭갈비 만두,1.0,1.5,1.4,0.2,0.1,0.2,4.9,3.1,5.9,0.0
1329,건베리강정,10.2,11.9,4.0,11.0,0.2,0.0,8.0,5.4,0.2,0.0
1330,뿌리채소모듬튀김,34.7,33.8,20.0,52.5,57.1,0.2,28.1,13.4,44.7,0.0
1331,마늘탕수,11.6,16.6,11.6,1.5,53.6,0.1,25.9,5.5,112.0,0.0
1333,콩가루전,7.7,1.0,23.3,20.1,12.7,99.8,6.6,11.7,5.0,0.0
1334,햄치즈달걀랩,19.4,4.3,50.7,46.6,58.5,216.9,5.8,25.0,6.8,0.0
1338,초콜릿살라미,70.3,44.6,24.8,139.6,38.6,195.2,9.6,12.2,0.0,0.0
1339,파블로바,18.7,25.3,21.6,0.4,17.2,0.4,1.6,1.3,11.6,1.9
1340,고추장 파스타,15.4,6.4,39.5,29.2,61.8,19.0,8.9,5.0,7.6,0.0
1341,해물뚝배기파스타,7.6,2.7,47.5,3.4,25.6,48.5,13.0,23.8,23.4,0.0
1343,갓김치등갈비찜,43.5,1.5,135.5,115.9,21.2,92.0,2.4,8.1,8.5,0.0
1345,크리스피 연어로스트,26.0,5.1,99.9,49.4,12.3,50.0,20.8,15.6,147.0,0.0
1346,두부스테이크,50.9,23.7,81.0,130.4,12.8,0.0,58.1,53.2,34.0,0.0
1347,에일맥주 조개찜,8.9,3.2,51.0,5.1,37.3,44.0,19.2,31.6,33.6,0.0
1348,스파이시또띠아칩,15.1,6.1,20.8,39.2,74.6,12.5,14.4,35.3,32.2,0.0
1349,닭개장,23.5,14.0,50.5,41.5,23.8,23.7,27.9,9.1,22.5,0.0
1350,묵볶이,3.7,4.6,5.6,0.7,83.5,0.0,5.7,4.0,5.0,0.0
1351,매콤 오이스터 크림 파스타,54.6,29.1,70.8,41.0,78.8,32.2,26.8,35.1,21.7,0.0
1352,새우 김치죽,11.7,10.9,21.3,9.1,6.2,63.1,1.8,6.6,0.3,0.0
1353,매콤치즈우동,9.0,1.5,65.4,1.8,4.4,35.7,5.3,4.4,5.9,0.0
1354,오징어젓갈콩나물밥,33.3,43.7,37.0,5.5,2.3,0.0,20.3,13.4,16.8,0.0
1355,초코바나나프렌치토스트,20.3,14.7,17.6,39.2,6.9,80.9,10.6,12.8,7.7,0.0
1356,통삼겹살,10.1,11.2,7.6,10.4,8.2,0.3,17.1,4.6,47.1,0.0
1358,어묵떡볶이,28.1,33.5,30.6,9.6,101.0,6.2,12.3,18.8,2.6,0.0
1359,딸기쨈,102.3,159.6,4.2,2.0,0.7,0.0,26.7,9.9,205.4,32.2
1360,해물치즈그라탕,9.3,11.5,6.5,0.2,7.9,0.0,3.5,3.3,2.0,0.8
1361,고구마피자,13.5,17.8,9.2,5.5,3.0,1.8,18.1,15.0,25.9,0.6
1362,당면만두,11.6,11.2,16.9,10.5,55.2,100.0,7.7,9.6,8.3,0.0
1363,타이데리야끼소스 퀘사디야,22.0,14.6,37.4,21.3,30.1,21.2,22.9,59.5,33.1,1.2
1364,불고기퀘사디아,10.0,12.7,10.4,5.1,11.2,0.1,26.6,10.4,34.0,1.2
1365,타르타르소스 게맛살 샌드위치,41.1,19.5,36.0,106.6,60.5,40.7,14.1,32.4,10.3,0.0
1366,봄나물튀김,119.1,12.1,8.5,491.9,28.2,0.0,7.6,11.7,21.9,0.0
1367,크로크무슈,32.1,14.2,30.5,37.6,28.5,26.5,8.0,47.1,1.3,0.0
1368,샐러드빵,17.6,11.5,30.0,29.4,28.6,14.9,11.3,29.9,10.9,6.4
1369,깻잎쌈밥,7.9,10.9,6.2,0.5,0.5,0.0,5.4,5.0,1.4,0.0
1370,초콜릿타르트,22.3,15.3,12.0,49.3,6.2,41.1,6.4,7.4,0.1,0.0
1371,불고기오징어전골,27.0,11.1,107.8,33.8,134.7,152.8,19.7,19.8,21.5,0.0
1372,핫소스배추전,11.8,11.4,25.7,9.4,6.9,49.9,4.8,6.5,0.1,0.0
1373,미역오이냉국,6.1,8.7,2.6,1.8,67.5,0.0,6.8,9.9,9.4,0.0
1374,돼지고기타코,13.7,13.6,12.5,19.0,7.2,3.5,30.1,16.0,28.2,1.6
1375,마피아,30.2,5.4,37.5,104.6,10.4,199.5,48.8,10.7,34.5,0.0
1376,군산콩나물잡채,17.8,11.4,20.9,36.8,19.0,16.1,16.1,32.2,2.7,0.0
1378,에그 프렌치 토스트 ,22.0,21.9,27.9,19.3,7.0,56.9,19.0,6.3,0.0,0.0
1379,마늘간장치킨,75.3,25.3,235.0,134.1,21.1,158.8,18.0,13.6,23.3,0.0
1380,중국식볶음밥,28.7,24.9,53.6,31.0,15.9,299.3,13.5,16.9,6.5,0.0
1381,깻잎 모히또,22.2,14.5,1.4,0.6,0.7,0.0,5.0,5.7,26.7,0.0
